id	invoice_no 	date	user_id	location_id	customer_id 	additional_fee	discount	total	payment	change	payment_type	status	posted_at	posted_by	voided_at	voided_by	created_at	updated_at
1859	2024/3.1869-23	06/03/2024			131			460000	460000	0		posted						
1860	2024/3.1870-23	06/03/2024			545			640000	640000	0		posted						
1861	2024/3.1871-23	07/03/2024			905		84000	966000	966000	0		posted						
1862	2024/3.1872-23	07/03/2024			131		575000	2350000	2350000	0		posted						
1863	2024/3.1873-23	08/03/2024			131		20000	600000	600000	0		posted						
1864	2024/3.1874-23	08/03/2024			906			7875000	7875000	0		posted						
1865	2024/3.1875-23	08/03/2024			131			200000	200000	0		posted						
1866	2024/3.1876-23	09/03/2024			131			6450000	6450000	0		posted						
1867	2024/3.1877-23	09/03/2024			131			415000	415000	0		posted						
1868	2024/3.1878-23	11/03/2024			907			560000	560000	0		posted						
1869	2024/3.1879-23	11/03/2024			453			1050000	1050000	0		posted						
1870	2024/3.1880-23	12/03/2024			908			14625000	14625000	0		posted						
1871	2024/3.1881-23	12/03/2024			131			345000	345000	0		posted						
1872	2024/3.1882-23	13/03/2024			909	1225000		9975000	9975000	0		posted						
1873	2024/3.1883-23	13/03/2024			906		140000	3080000	3080000	0		posted						
1874	2024/3.1884-23	13/03/2024			358		200000	2100000	2100000	0		posted						
1875	2024/3.1885-23	13/03/2024			131			460000	460000	0		posted						
1876	2024/3.1886-23	14/03/2024			910			3935000	3935000	0		posted						
1877	2024/3.1887-23	15/03/2024			845		500000	9250000	9250000	0		posted						
1878	2024/3.1888-23	18/03/2024			131			1279500	1279500	0		posted						
1879	2024/3.1889-23	18/03/2024			131			1845000	1845000	0		posted						
1880	2024/3.1890-23	19/03/2024			131			360000	360000	0		posted						
1881	2024/3.1891-23	20/03/2024			911			575000	575000	0		posted						
1882	2024/3.1892-23	21/03/2024			191		510000	6800000	6800000	0		posted						
1883	2024/3.1893-23	21/03/2024			911			345000	345000	0		posted						
1884	2024/3.1894-23	21/03/2024			131			360000	360000	0		posted						
1885	2024/3.1895-23	22/03/2024			131		90000	1710000	1710000	0		posted						
1886	2024/3.1896-23	23/03/2024			912			1395000	1395000	0		posted						
1887	2024/3.1897-23	23/03/2024			913		180000	1138900	1138900	0		posted						
1888	2024/4.1898-24	24/04/2024			131	20000		400000	400000	0		posted						
1889	2024/4.1899-24	24/03/2024			401			4950000	4950000	0		posted						
1890	2024/4.1900-24	24/03/2024			401			864000	864000	0		posted						
1891	2024/4.1901-24	28/03/2024			131			1231000	1231000	0		posted						
1892	2024/4.1902-24	30/03/2024			270		350000	1955000	1955000	0		posted						
1893	2024/4.1903-24	30/03/2024			131	150000		5100000	5100000	0		posted						
1894	2024/4.1904-24	30/03/2024			131			230000	230000	0		posted						
1895	2024/4.1905-24	01/04/2024			914	750000		6300000	6300000	0		posted						
1896	2024/4.1906-24	02/04/2024			131			1045000	1045000	0		posted						
1897	2024/4.1907-24	02/04/2024			405		220000	3080000	3080000	0		posted						
1898	2024/4.1908-24	03/04/2024			131			555000	555000	0		posted						
1899	2024/4.1909-24	04/04/2024			657			4222500	4222500	0		posted						
1900	2024/4.1910-24	04/04/2024			14			460000	460000	0		posted						
1901	2024/4.1911-24	05/04/2024			327		250000	1500000	1500000	0		posted						
1902	2024/4.1912-24	06/04/2024			131			570000	570000	0		posted						
1903	2024/4.1913-24	06/04/2024			902	200000		2200000	2200000	0		posted						
1904	2024/4.1914-24	09/04/2024			798		2000000	4000000	4000000	0		posted						
1905	2024/4.1915-24	12/04/2024			845		300000	5355000	5355000	0		posted						
1906	2024/4.1916-24	13/04/2024			772			2440000	2440000	0		posted						
1907	2024/4.1917-24	13/04/2024			704			890000	890000	0		posted						
1908	2024/4.1918-24	13/04/2024			915		90000	2350000	2350000	0		posted						
1909	2024/4.1919-24	15/04/2024			131			460000	460000	0		posted						
1910	2024/4.1920-24	16/04/2024			131			1300000	1300000	0		posted						
1911	2024/4.1921-24	18/04/2024			916	220000		1700000	1700000	0		posted						
1912	2024/5.1922-6	22/04/2024			917			2880000	2880000	0		posted						
