product_id,location_id,adjust_qty,unit_cost,reason
297,12,1,,"Auto top-up for posting draft sales"
298,12,1,,"Auto top-up for posting draft sales"
299,12,53,,"Auto top-up for posting draft sales"
300,12,25,,"Auto top-up for posting draft sales"
301,12,22,,"Auto top-up for posting draft sales"
302,12,52,,"Auto top-up for posting draft sales"
303,12,22,,"Auto top-up for posting draft sales"
305,12,189,,"Auto top-up for posting draft sales"
306,12,8,,"Auto top-up for posting draft sales"
307,12,813.31,,"Auto top-up for posting draft sales"
308,12,49.25,,"Auto top-up for posting draft sales"
309,12,144.58,,"Auto top-up for posting draft sales"
310,12,109.42,,"Auto top-up for posting draft sales"
311,12,100.11,,"Auto top-up for posting draft sales"
312,12,42.07,,"Auto top-up for posting draft sales"
313,12,49.93,,"Auto top-up for posting draft sales"
314,12,123,,"Auto top-up for posting draft sales"
315,12,184.46,,"Auto top-up for posting draft sales"
316,12,244.67,,"Auto top-up for posting draft sales"
317,12,346.58,,"Auto top-up for posting draft sales"
318,12,146.55,,"Auto top-up for posting draft sales"
319,12,126.46,,"Auto top-up for posting draft sales"
320,12,178.97,,"Auto top-up for posting draft sales"
321,12,389.24,,"Auto top-up for posting draft sales"
322,12,200.64,,"Auto top-up for posting draft sales"
323,12,373.5,,"Auto top-up for posting draft sales"
324,12,157.13,,"Auto top-up for posting draft sales"
325,12,304.04,,"Auto top-up for posting draft sales"
326,12,54.92,,"Auto top-up for posting draft sales"
327,12,64,,"Auto top-up for posting draft sales"
329,12,161.24,,"Auto top-up for posting draft sales"
330,12,110.75,,"Auto top-up for posting draft sales"
331,12,10,,"Auto top-up for posting draft sales"
332,12,364.45,,"Auto top-up for posting draft sales"
334,12,16.5,,"Auto top-up for posting draft sales"
335,12,1,,"Auto top-up for posting draft sales"
336,12,34,,"Auto top-up for posting draft sales"
337,12,14,,"Auto top-up for posting draft sales"
338,12,12,,"Auto top-up for posting draft sales"
339,12,10,,"Auto top-up for posting draft sales"
340,12,2,,"Auto top-up for posting draft sales"
342,12,1,,"Auto top-up for posting draft sales"
343,12,1,,"Auto top-up for posting draft sales"
344,12,4,,"Auto top-up for posting draft sales"
